trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.25, 'e': 0.19193278644723677}",20,1,11.831338559275615,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.25, 'e': 0.19000156601531293}",30,0,41.22400584985301,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.25, 'e': 0.1880852545002415}",20,12,14.82292822959673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.25, 'e': 0.18618382790150856}",30,4,32.136434823677334,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.25, 'e': 0.18429726028236693}",25,13,1.5844633071777474,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.25, 'e': 0.18242552380635635}",30,8,15.766453108195996,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.25, 'e': 0.18056858877388404}",20,13,0.24908474092745148,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.25, 'e': 0.1787264236588504}",35,7,22.186008523308633,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.25, 'e': 0.17689899514529428}",20,8,-24.191904442428633,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
124,False,"{'a': 0.25, 'e': 0.17508626816403983}",25,12,14.261466265707064,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.25, 'e': 0.1732882059293266}",20,9,4.241104586813783,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.25, 'e': 0.17150476997540087}",20,0,28.732645325352692,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.25, 'e': 0.16973592019305217}",30,18,9.54486856383551,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.25, 'e': 0.16798161486607555}",20,1,22.90063357790874,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.25, 'e': 0.16624181070764243}",30,13,-25.247942506634722,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.25, 'e': 0.16451646289656308}",20,8,-61.88499313010391,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
131,False,"{'a': 0.25, 'e': 0.1628055251134244}",30,19,-0.4540451290242906,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.25, 'e': 0.16110894957658528}",20,0,15.442700763966032,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.25, 'e': 0.15942668707801677}",20,0,-19.417242230233892,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
134,False,"{'a': 0.25, 'e': 0.15775868701897}",30,18,19.25806770142965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.25, 'e': 0.1561048974454574}",20,0,-13.739281243612037,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.25, 'e': 0.15446526508353475}",20,0,25.249021437086853,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.25, 'e': 0.1528397353743679}",20,11,13.743719537647944,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.25, 'e': 0.15122825250907412}",30,9,-7.588991925016277,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.25, 'e': 0.14963075946332383}",20,0,15.162969025853291,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
140,False,"{'a': 0.25, 'e': 0.14804719803168942}",25,2,26.190930637581843,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.25, 'e': 0.14647750886173394}",30,15,15.868245715401304,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
